# 从 Anki 牌组转换：大学英语四级单词(词典重制完美版).apkg
# 格式：单词|释义|例句|例句翻译
attention|[əˈtenʃn] n. 注意；注意力|She soon becomes the centre of attention.|她很快成为大家注意的人物。
attentive|[əˈtentɪv] adj. 注意的；留意的|It is attentive listening, total seeing and careful testing.|它是一种注意的听，完全的看以及仔细的测试。
attitude|[ˈætɪtjuːd] n. 态度；看法|We must maintain a firm attitude.|我们必须采取坚定的态度。
attract|[əˈtrækt] v. 吸引；引来|The flower show attracted large crowds this year.|今年的花展吸引了大批观众。
attraction|[əˈtrækʃn] n. 吸引；吸引力|She felt an immediate attraction to him.|她对他一见锺情。
attractive|[əˈtræktɪv] adj. 有吸引力的；有魅力的|Ice-cream is attractive to children.|冰淇淋对孩子们非常有吸引力。
attribute|[ˈætrɪbjuːt] vt. 把 ... 归于 n. 属性；标志|Most historians attribute such declines to wars and conquests.|大多数的历史学家把这样的衰亡归于战争和征服。
audience|[ˈɔːdiəns] n. 听众；观众|The audience was no less than five thousand.|听众有五千人之多。
August|[ˈɔːɡəst] adj. （a~）威严的；尊贵的 n. 八月|There's an august group of statesmen in the auditorium.|大礼堂里坐着一群德高望重的政治家。
aunt|[ɑːnt] n. 伯母；姑|She has no relations besides an aged aunt.|她除了有一个年老的伯母以外，再没有亲戚了。
aural|[ˈɔːrəl] adj. 听觉的；耳的|You can use these tapes as aural material.|你可以把这些磁带当作听力材料。
Australia|[ɒˈstreɪlɪə] n. 澳大利亚|My foreign teacher came from Australia.|我的外籍教师来自澳大利亚。
author|[ˈɔːθə(r)] n. 作家；作者 vt. 编写；创作 Author. n. 上帝|This book shows that he is an ingenious author.|这本书表明他是一个有创造力的作家。
authority|[ɔːˈθɒrəti] n. 权力；官方|The government is the highest authority in the country.|政府是国家的最高权力机构。
auto|[ˈɔːtəʊ] n. 汽车 pref.自动的 v. 乘汽车|He made the best time in the auto race.|他的汽车赛中开得最快。
automation|[ˌɔːtəˈmeɪʃn] n. 自动化|Automation has obsoleted many unskilled workers.|自动化使很多非技术工人受到淘汰。
automobile|[ˈɔːtəməbiːl] n. 汽车 adj. 汽车的|He huddled the children into the automobile.|他急急忙忙地把孩子们推进汽车。
autumn|[ˈɔːtəm] n. 秋季；秋天|The autumn or winter term start in September.|秋季或冬季学期九月份开始。
auxiliary|[ɔːɡˈzɪliəri] n. 助动词；辅助物 adj. 辅助的；附加的|In Chinese, the classification of the auxiliary verb and the adverb always have dispute.|摘要汉语中助动词和副词的分类一直有争议。
available|[əˈveɪləbl] adj. 可利用的；可得到的|Do you have a room available?|你们有空房间吗？
avenue|[ˈævənjuː] n. 林荫道；大街|He stands on the corner of a wide avenue.|他站在宽阔的林荫道的角落里。
average|[ˈævərɪdʒ] n. 平均数；平均水平 adj. 平均的；一般的 v. 取平均值；达到平均水平|The average of 4,6 and 8 is 6.|4,6, 8的平均数是6。
aviation|[ˌeɪviˈeɪʃn] n. 航空；飞机制造业|He devoted all his life to China's aviation.|他的一生都奉献给了中国的航空事业。
avoid|[əˈvɔɪd] vt. 避免；逃避|You should avoid unnecessary repetition.|你应避免不必要的重复。
await|[əˈweɪt] v. 等候；期待|We await your shipping instructions.|我们等候你们的装船指示。
award|[əˈwɔːd] n. 奖品；奖 v. 授予；给予|It is impossible to honor her with the award.|奖品授给她是不可能的。
aware|[əˈweə(r)] adj. 知道的；意识到的|If you were aware of all that, you would change your mind.|如果你知道了那一切,你会改变主意的。
away|[əˈweɪ] adv. 离开；远离 adj. 不在的；遥远的|He lives 3 miles away from here.|他住在距离这里三英里的地方。
awfully|[ˈɔːfli] adv. 非常地；极端地|It is awfully boring.|太叫人厌烦了。
awkward|[ˈɔːkwəd] adj. 尴尬的；笨拙的|It's a little awkward, because he's my friend but I'm still his boss.|他是我朋友,而我又是他老板,这真有点尴尬。
ax|[æks] n. 斧子；解雇 vt. 用斧砍；解雇 abbr. 公理(=axiom) abbr. 轴线(=axis)|He hacked the box apart with the ax.|他用斧头把盒子劈开。
axis|[ˈæksɪs] n. 轴；中枢|The earth turns (ie rotates) on its axis once every 24 hours.|地球每24小时自转一圈。
baby|[ˈbeɪbi] n. 婴儿；宝贝儿 adj. 婴儿的；小型的 vt. 溺爱|She gave birth to a fine healthy baby.|她生了一个健康漂亮的婴儿。
back|[bæk] n. 后面；背脊 vt. 支持；后退 adv. 向后地 adj. 向后的；后面的|Three people can sit in the back of this car.|这车的后座可坐3个人。
background|[ˈbækɡraʊnd] n. 背景；经历 vt. 提供背景|He has a strong political background.|他有强大的政治背景。
backward|[ˈbækwəd] adj. 向后的；落后的 adv. 向后|He took a backward step and ran away.|他向后退了一步,跑了。
bacteria|[bækˈtɪəriə] n. (复数)细菌|Many diseases are caused by bacteria.|许多疾病是由细菌引起的。
badminton|[ˈbædmɪntən] n. 羽毛球|I like to play badminton in my spare time.|我喜欢在闲暇时打羽毛球。
bag|[bæɡ] n. 袋；袋状物 vt. 把 ... 装进袋子；使膨胀 vi. （如袋子般）松垂|He lost his travelling bag when he crossed the desert.|他在穿越沙漠的时候丢失了他的旅行袋。
baggage|[ˈbæɡɪdʒ] n. 行李|Let me put your baggage in the trunk.|我来把你的行李放在汽车后部的行李箱内。
bake|[beɪk] v. 烤；烘焙|The bread is baking in the oven.|烤箱里正在烤面包。
balance|[ˈbæləns] n. 平衡；天平 vt. 权衡；使平衡 vi. 均衡；建立平衡|The girl lost her balance and fell off the balance beam.|小女孩失去了平衡，从平衡木上摔了下来。
ball|[bɔːl] n. 球；球状物 v. 使成球状；呈球状|The cat made little rushes to and fro after the ball.|猫追着球跑过来跑过去。
balloon|[bəˈluːn] n. 气球；球状物 vt. 使膨胀 vi. 乘气球飞行；激增 adj. 气球状的|A balloon floated across the sky.|有个气球从空中飘过。
banana|[bəˈnɑːnə] n. 香蕉|The banana is her favorite fruit.|香蕉是她最喜欢的水果。
band|[bænd] n. 乐队；队 n. 带；箍 v. 绑扎 v. 联合；结合|The band played a lively tune.|乐队演奏了一支轻快的乐曲。
bang|[bæŋ] n. 巨响；重击 v. 重击；大声敲 adv. 正好地；准确地|The door shut with a bang.|门砰的一声关上了。
banner|[ˈbænə(r)] n. 横幅；旗帜 adj. 杰出的；特别好的 vt. 用横幅装饰；以大标题报道|Can you read that banner from this distance?|从这里你能看清那个横幅标语吗?
bar|[bɑː(r)] n. 酒吧；条 vt. 禁止；阻挠|There are several bars in the hotel.|这家旅馆里有好几个酒吧。
barber|[ˈbɑːbə(r)] n. 理发师 vi. 当理发师 vt. 给…理发；修剪|The barber thinned out my thick hair.|理发师把我浓密的头发削薄了一些。
bare|[beə(r)] adj. 赤裸的；空的 vt. 使裸露；暴露|The fierce sun parched the bare earth.|灼热的阳光炙烤着光秃秃的大地。
bargain|[ˈbɑːgɪn] n. 交易；便宜货 v. 讨价还价；议价|He made a satisfactory bargain with them.|他和他们做了一笔满意的交易。
bark|[bɑːk] v. (狗)吠；咆哮 v. 剥皮；擦伤 n. 狗吠；咆哮 n. 树皮|The dog barked when the stranger came near.|当陌生人走近时，狗叫了起来。
barn|[bɑːn] n. 谷仓；牲口棚|The barn will store five tons of grain.|这个谷仓能放五吨粮食。
barrel|[ˈbærəl] n. 桶；枪管 vi. 快速移动 vt. 把 ... 装桶|Beer swilled around the bottom of the barrel.|啤酒在桶底晃荡。
barrier|[ˈbæriə(r)] n. 栅栏；障碍物|The ice skater rammed into the barrier.|溜冰者撞到护栏上了。
base|[beɪs] n. 底部；基地 vt. 以 ... 作基础 adj. 卑鄙的；不道德的|I found a small leaf at the base of the flower.|我在那朵花的底部发现一片小叶。
basic|[ˈbeɪsɪk] adj. 基本的；基础的 n. 基础；根本|The family is the basic unit of society.|家庭是社会的基本单位。
basically|[ˈbeɪsɪkli] adv. 基本上；主要地|So we are basically, in agreement on that agenda.|那么在日程问题上，我们基本上意见一致了。
basin|[ˈbeɪsn] n. 脸盆；盆地|This basin is made of iron.|这个盆子是铁做的。
basis|[ˈbeɪsɪs] n. 基础；根据|His research formed the basis of his new book.|他的研究成果是他这本新书的基础。
basket|[ˈbɑːskɪt] n. 篮；篓|Several baskets of fruit were eaten at the party.|宴会上，大家吃掉了好几篮水果。
basketball|[ˈbɑːskɪtbɔːl] n. 篮球|We will play basketball tomorrow.|我们明天打篮球。
bat|[bæt] n. 球棒；球拍 n. 蝙蝠 v. 用棒击打；拍打 v. 眨眼睛|He just tipped the ball with his bat.|他只是用球棒擦击来球。
bath|[bɑːθ] n. 洗澡；浴室 v. 洗澡 Bath. n. 巴斯(英国城市)|He takes a cold bath every day.|他每天洗一个冷水澡。
bathe|[beɪð] v. 沐浴；用水洗|And when Sparta burns, you shall bathe in gold.|当斯巴达被火烧的时候，你们讲沐浴在黄金里。
bathroom|[ˈbɑːθruːm] n. 浴室；洗手间|He weighed himself on the bathroom scales.|他在浴室的磅秤上称体重。
battery|[ˈbætərɪ] n. 电池；一系列|They are electrifying the battery.|他们正给电池充电。
battle|[ˈbætl] n. 战斗；争斗 v. 与 ... 作战；与 ... 竞争|His brave deeds in the battle earned him everlasting glory.|他在那场战斗中的英勇事迹为他赢得了永恒的荣誉。
bay|[beɪ] n. 海湾；月桂树 vi. 嗥叫；哀号 adj. 红棕色|Sunlight shimmers on the waters of the bay.|阳光在海湾的水面上闪烁。
be|[bi] v. 有；在|It is necessary that he be sent there at once.|有必要马上派他到那里去。
beach|[biːtʃ] n. 海滩；海滨 vt. 拖(船)上岸|We are basking on the beach.|我们在海滩上晒太阳。
beam|[biːm] vi. 微笑；发光 vt. 播送；发射 n. 桁条；光线|She beamed at me.|她对我微笑。
bean|[biːn] n. 豆；豆科植物|Cocoa bean is used to make some kinds of drink.|可可豆用于制作一些饮料。
bear|[beə(r)] n. 熊 v. 忍受；负荷|The hunter slashed at the bear with his knife.|猎人挥刀向熊猛烈砍去。
beard|[bɪəd] n. 胡须 vt. 公开反对；抓住胡须|Why don't you shave your beard off?|你怎麽不把胡子刮掉?
beast|[biːst] n. 兽；畜牲|The lion is called the king of beasts.|狮子号称百兽之王。
beat|[biːt] v. 打；打败 n. 拍子；敲打 adj. 精疲力尽的|His father beat the disobedient boy.|他的父亲打那个不听话的男孩。
beautiful|[ˈbjuːtɪfl] adj. 美丽的；好的|She is, as it were, the most beautiful girl I've ever seen.|她可说是我见过的最漂亮的姑娘。
beauty|[ˈbjuːti] n. 美人；美丽|Beauty's tears are lovelier than her smile.|美人的泪水比微笑更可爱。
because|[bɪˈkɒz] conj. 因为；由于|I bought the house simply because it was large.|我购买了这房子，只是因为它面积大。
become|[bɪˈkʌm] v. 变成；成为|Vast areas of land have become desert.|广大的地区均已变成沙漠。
bed|[bed] n. 床；基座 v. 安置；发生性关系|Life isn't a bed of roses.|人生并非事事称心如意。
bee|[biː] n. 蜜蜂 n. 集会|A bee pricks the skin with its sting.|蜜蜂用螫针刺皮肤。
beef|[biːf] n. 牛肉；肌肉 v. 抱怨；告发|Do you like stewed beef?|你喜欢吃炖牛肉吗？
before|[bɪˈfɔː(r)] conj. 在 ... 以前 pref.在 ... 以前；在..前面 adv. 以前；以往|B comes before C in the alphabet.|B在字母表里排在C之前。
beg|[beɡ] v. 恳求；乞讨 abbr. 开始(=begin)|She begs them not to punish her son severely.|她恳求他们不要给他儿子太重的处罚。
beggar|[ˈbeɡə(r)] n. 乞丐；穷人 vt. 使贫穷；使不足|The beggar shivered in his scanty clothes.|乞丐穿着单薄，冻得发抖。
begin|[bɪˈɡɪn] v. 开始；着手|The meeting will begin at nine.|会议将在九点开始。
beginner|[bɪˈɡɪnə(r)] n. 初学者；新手|For a beginner, you are pretty good.|对一个初学者来说，你是相当不错了。
behalf|[bɪˈhɑːf] n. 代表；利益|The agent spoke on behalf of his principal.|代理人代表他的委托人说话。
behavior|[bɪˈheɪvjə] n. 行为；举止|His behavior was, in a word, shocking.|总之，他的行为是令人震惊的。
behind|[bɪˈhaɪnd] prep. 在...之后；迟于... adv. 在后面地；落后地 n. 屁股|Who is the girl standing behind Richard?|站在理查德后面的那个姑娘是谁？
being|[ˈbiːɪŋ] n. 存在；人|I don't like being pent up in the house all the time.|我不喜欢整天给关在屋子里。
belief|[bɪˈliːf] n. 信念；信仰|It bolstered my belief.|这增强了我的信念。
believe|[bɪˈliːv] v. 相信；认为|We believe in his ability.|我们相信他的才干。
bell|[bel] n. 钟；铃 vt. 敲钟；使象钟状地张开 vi. 使呈钟状；张开|The church bell tolled the hour.|教堂的鸣钟报时。
beloved|[bɪˈlʌvd] adj. 心爱的 n. 爱人|Her beloved broach was nowhere to be found.|她心爱的饰针找不到了。
below|[bɪˈləʊ] prep. 低于；在 ... 下面 adv. 在下面；向下|His income is well below the average.|他的收入大大低于平均水平。
